TierType,TierName,Label,Start,Mid,End,Duration
IntervalTier,words,World,180105,180496,180888,783
IntervalTier,words,,180888,181690,182492,1604
IntervalTier,words,Dog,182492,182846,183201,709
IntervalTier,words,,183201,185319,187437,4236
IntervalTier,words,Grapes,187437,187847,188257,820
IntervalTier,words,,188257,188602,188947,690
IntervalTier,words,,188947,189227,189507,560
IntervalTier,words,,189507,193151,196796,7289
IntervalTier,words,Eating,196796,197141,197486,690
IntervalTier,words,,197486,200442,203398,5912
IntervalTier,words,Grapes,203398,203864,204330,932
IntervalTier,words,,204330,206277,208224,3894
IntervalTier,words,Elephant,208224,208662,209100,876
IntervalTier,words,,209100,213515,217930,8830
IntervalTier,words,Table,217930,218452,218975,1045
IntervalTier,words,,218975,220047,221119,2144
IntervalTier,words,Eating,221119,221464,221809,690
IntervalTier,words,,221809,225319,228830,7021
IntervalTier,words,Gorilla,228830,229202,229575,745
IntervalTier,words,,229575,231375,233175,3600
IntervalTier,words,Associate,233175,233711,234248,1073
IntervalTier,words,,234248,235133,236019,1771
IntervalTier,words,Eating,236019,236383,236747,728
IntervalTier,words,,236747,240592,244437,7690
IntervalTier,words,Girl,244437,244744,245052,615
IntervalTier,words,,245052,246618,248185,3133
IntervalTier,words,Likes,248185,248493,248801,616
IntervalTier,words,,248801,250978,253156,4355
IntervalTier,words,Starbucks,253156,253594,254032,876
IntervalTier,words,,254032,255785,257538,3506
IntervalTier,words,Snow,257538,257873,258209,671
IntervalTier,words,,258209,260777,263345,5136
IntervalTier,words,Work,263345,263662,263979,634
IntervalTier,words,,263979,264790,265602,1623
IntervalTier,words,Kangaroo,265602,266077,266553,951
IntervalTier,words,,266553,267989,269425,2872
IntervalTier,words,Oranges,269425,269826,270227,802
IntervalTier,words,,270227,271859,273491,3264
IntervalTier,words,Sun,273491,273873,274255,764
IntervalTier,words,,274255,277526,280797,6542
IntervalTier,words,Never,280797,281179,281562,765
IntervalTier,words,,281562,283562,285563,4001
IntervalTier,words,Rat,285563,285852,286141,578
IntervalTier,words,,286141,287726,289312,3171
IntervalTier,words,Tick,289312,289545,289778,466
IntervalTier,words,,289778,292725,295672,5894
IntervalTier,words,Kangaroo,295672,296091,296511,839
IntervalTier,words,,296511,299185,301860,5349
IntervalTier,words,Octopus,301860,302354,302849,989
IntervalTier,words,,302849,303865,304881,2032
IntervalTier,words,Spider,304881,305468,306056,1175
IntervalTier,words,,306056,308387,310719,4663
IntervalTier,words,Red,310719,311026,311334,615
